#bin	chrom	chromStart	chromEnd
2	chr1	72918448	77594527
2	chr1	82217591	84357338
2	chr1	117119873	117597838
3	chr1	159062867	159797492
4	chr1	209602717	209736279
4	chr1	216018760	218456191
4	chr1	226398380	226782168
10	chr1	11401198	11694590
11	chr1	18229570	19207602
12	chr1	29618442	31162049
13	chr1	33943885	35623392
13	chr1	36939875	37912651
13	chr1	38499473	39306315
14	chr1	42810964	43141018
16	chr1	60253768	62132485
16	chr1	63253672	63985788
16	chr1	65994362	66153021
17	chr1	68863726	70448441
17	chr1	70827839	71495086
18	chr1	79860252	81539342
18	chr1	81661905	82122885
19	chr1	86974534	87142441
19	chr1	88540870	89135721
19	chr1	90478874	91371531
20	chr1	95585563	96680720
20	chr1	99437616	99984834
21	chr1	103754812	108647490
22	chr1	110957801	111677958
23	chr1	118439790	118615877
23	chr1	118704485	120145461
27	chr1	152025173	153450845
27	chr1	157145908	157930561
27	chr1	158098844	158966229
28	chr1	160347515	160967568
28	chr1	163315301	163783746
28	chr1	165894406	167646453
29	chr1	168269755	169050404
29	chr1	170916534	171383737
29	chr1	174059435	175986493
30	chr1	176177603	177882546
30	chr1	181156395	182799388
32	chr1	193260387	197060886
33	chr1	207579093	207939192
33	chr1	208422179	209526611
34	chr1	210596925	211431740
34	chr1	213315941	214390621
35	chr1	225148306	225597398
36	chr1	228690417	230199897
36	chr1	230403363	230935211
36	chr1	232012297	233082088
36	chr1	233278554	234601763
37	chr1	236273361	238560575
37	chr1	240930639	241560576
38	chr1	247581216	249099782
87	chr1	14877629	15246452
109	chr1	38065507	38258622
113	chr1	42425318	42616367
116	chr1	45508620	45643733
118	chr1	47201830	47774673
122	chr1	51462038	51645778
132	chr1	62219592	62899363
134	chr1	64717998	64931007
135	chr1	65035157	65350418
135	chr1	65432999	65874956
137	chr1	67235374	67387252
137	chr1	67531929	67803647
141	chr1	71572544	72022523
155	chr1	86687356	86810866
158	chr1	89546787	90094834
160	chr1	91494408	91958969
167	chr1	98969030	99102075
167	chr1	99217237	99354480
168	chr1	100257245	100420481
171	chr1	103393484	103634106
176	chr1	108764915	109043328
178	chr1	110669285	110865502
179	chr1	111778985	111976621
180	chr1	112320260	112898828
181	chr1	113689589	113918787
182	chr1	115060990	115236015
183	chr1	115343494	115654423
225	chr1	159920419	160050691
227	chr1	162047812	162431490
229	chr1	163878379	164524918
230	chr1	164774273	165599484
234	chr1	169132360	169819426
236	chr1	171566468	171679742
236	chr1	171771831	171952689
238	chr1	173455606	173758887
244	chr1	179341467	179773487
