chrom chromStart chromEnd signalValue
chr1 726468 726702 17.4146
chr1 797230 797497 4.46698
chr1 814690 817973 2.63386
chr1 820030 827042 3.57193
chr1 833192 834375 2.6885
chr1 834952 835530 3.35314
chr1 840623 841366 3.07669
chr1 841589 842195 3.36222
chr1 846720 849062 2.52508
chr1 850537 851773 2.45259
chr1 852225 854351 2.57125
chr1 854592 863213 3.62583
chr1 866792 867087 5.05375
chr1 867775 868955 2.56899
chr1 870697 871225 3.29419
chr1 873906 879100 3.07127
chr1 902940 904115 2.45304
chr1 904704 905353 3.29259
chr1 930699 931722 2.52605
chr1 932346 934075 3.56403
chr1 934697 934857 6.83309
chr1 935647 937048 4.07919
chr1 939799 940029 5.18558
chr1 955329 955565 7.37005
chr1 975364 975891 3.48904
chr1 993574 994332 3.0158
chr1 1052192 1055217 2.92421
chr1 1101247 1115675 1.83584
chr1 1140232 1143684 2.62008
chr1 1182521 1182642 7.39267
chr1 1182929 1183047 7.15948
chr1 1219444 1219610 6.28674
chr1 1287573 1290612 2.76357
chr1 1296167 1296695 3.29419
chr1 1368892 1371110 3.80892
chr1 1371695 1372002 5.01808
chr1 1475676 1475986 4.32829
chr1 1475776 1475999 5.57121
chr1 1514326 1514542 5.29162
chr1 1516636 1516855 6.80756
chr1 1517781 1518294 3.39051
chr1 1531589 1531813 5.76819
chr1 1531910 1532336 4.78287
chr1 1532740 1532967 5.03519
chr1 1536184 1536297 7.47627
chr1 1566429 1567603 2.53979
chr1 1829549 1830343 3.31718
chr1 1849044 1850192 3.28993
chr1 1891787 1892513 3.14873
chr1 1920160 1920400 8.69666
chr1 1934583 1935310 3.34947
chr1 1945804 1946327 3.51572
chr1 1946798 1947370 3.21455
chr1 1948408 1950996 2.45788
chr1 1951277 1952758 2.51664
chr1 1972304 1984100 1.79048
chr1 2053326 2053572 5.05032
chr1 2373771 2374470 3.27035
chr1 2375826 2376781 3.12221
chr1 2452641 2478840 1.58955
chr1 2528092 2535595 1.60948
chr1 2550851 2566524 1.77562
chr1 2561660 2561788 7.37663
chr1 2562087 2562249 6.13521
chr1 2583616 2584072 4.79515
chr1 2584374 2584589 6.24079
chr1 2585720 2585930 5.67945
chr1 2586136 2586313 5.61527
chr1 2615472 2615733 7.23531
chr1 2615826 2616054 5.88496
chr1 2616208 2616444 7.15948
chr1 2628034 2628303 5.17273
chr1 2629122 2629363 7.83575
chr1 2987374 2990893 2.66905
chr1 3071848 3073974 2.54787
chr1 3085717 3093198 1.5345
chr1 3308258 3310670 2.71964
chr1 3311637 3312141 3.45105
chr1 3338595 3339672 2.49168
chr1 3370065 3370582 3.4604
chr1 3374643 3375909 2.43373
chr1 3446037 3447049 2.55351
chr1 3516183 3542095 1.65126
chr1 3668218 3693109 1.44547
chr1 3825421 3828208 3.06694
chr1 4080319 4090550 1.73892
chr1 4106538 4107606 2.46615
chr1 4170609 4181687 1.45344
chr1 4204642 4204815 6.60687
chr1 4224497 4229545 1.72279
chr1 4334078 4334312 7.64541
chr1 4363066 4363348 10.0448
chr1 4641286 4650388 1.62156
chr1 4660828 4667716 1.60889
chr1 4703967 4742720 1.43111
chr1 4716512 4716664 7.19272
chr1 4716825 4716989 6.66643
chr1 4824194 4825312 2.53365
chr1 4844154 4852980 1.6779
chr1 4860288 4862308 2.50936
chr1 4887035 4893093 1.70627
chr1 4999416 4999744 6.2119
chr1 5068057 5078049 1.58157
chr1 5471553 5472807 2.49665
chr1 5473609 5498446 1.60068
chr1 5504314 5515012 1.58404
chr1 5548741 5576055 1.66475
chr1 5578593 5578825 6.85451
chr1 5584331 5584840 3.51479
chr1 5641746 5642395 3.29259
chr1 5662163 5696635 1.47909
chr1 5706893 5717254 1.65954
chr1 5723549 5740443 2.43269
chr1 5728366 5728645 7.12476
chr1 5728839 5729042 5.38568
chr1 5729762 5733574 4.79744
chr1 5735007 5735211 6.3337
chr1 5735336 5735558 6.71557
chr1 5751925 5761722 1.55725
chr1 5766773 5768034 2.44338
chr1 5775240 5782451 1.57817
chr1 5787257 5788864 2.41209
chr1 5789641 5790653 2.55351
chr1 5804249 5810550 1.53005
chr1 5828015 5830523 2.49665
chr1 5831174 5831980 3.39111
chr1 5856741 5857914 2.54195
chr1 6188928 6215843 1.3774
chr1 6220400 6232318 1.66373
chr1 6236536 6239758 2.62203
chr1 6240923 6241966 3.43054
chr1 6253539 6253734 7.64541
chr1 6295974 6314038 2.25312
chr1 6319614 6319994 4.70796
chr1 6468371 6531101 2.02251
chr1 6536477 6570196 1.59171
