#bin	chrom	chromStart	chromEnd	name	score	strand	signalValue	pValue	qValue
590	chr1	712289	716303	.	518	.	4.8638	13.5	-1
590	chr1	724096	724314	.	644	.	6.65023	7.3	-1
590	chr1	724429	724602	.	648	.	6.70404	4.6	-1
590	chr1	725148	725356	.	585	.	5.80829	3.8	-1
590	chr1	725153	725455	.	502	.	4.64048	3.3	-1
590	chr1	725831	726056	.	614	.	6.22855	6.2	-1
590	chr1	726317	726427	.	733	.	7.90772	2.8	-1
590	chr1	726368	726802	.	1000	.	12.805	14.8	-1
590	chr1	760046	763843	.	566	.	5.54904	14.1	-1
590	chr1	765007	765138	.	643	.	6.64008	1.7	-1
591	chr1	800785	801902	.	422	.	3.50432	13.2	-1
591	chr1	823287	823651	.	531	.	5.04492	7.3	-1
591	chr1	824554	825430	.	782	.	8.60582	14.6	-1
591	chr1	825758	825977	.	626	.	6.3992	6.4	-1
591	chr1	826025	826308	.	693	.	7.34267	15.2	-1
591	chr1	840406	841199	.	557	.	5.42361	14.6	-1
591	chr1	874665	877540	.	393	.	3.0928	14	-1
591	chr1	892054	897943	.	709	.	7.56591	13.2	-1
591	chr1	901402	903114	.	559	.	5.44785	14.5	-1
592	chr1	928001	928407	.	645	.	6.66552	15.4	-1
592	chr1	934620	935379	.	503	.	4.64786	14.9	-1
592	chr1	935606	937296	.	633	.	6.49099	14.3	-1
592	chr1	937190	937297	.	717	.	7.6778	2.1	-1
592	chr1	937646	937773	.	712	.	7.61023	3.6	-1
592	chr1	939996	940820	.	390	.	3.04963	4.2	-1
592	chr1	947346	951881	.	1000	.	13.1069	13.5	-1
592	chr1	954645	954872	.	625	.	6.38656	6.9	-1
592	chr1	955178	956158	.	749	.	8.13635	14.4	-1
592	chr1	956160	956994	.	608	.	6.14202	14.6	-1
592	chr1	966354	966535	.	665	.	6.94171	5.8	-1
592	chr1	966570	966804	.	656	.	6.81506	9	-1
592	chr1	967665	968902	.	412	.	3.3597	13.4	-1
592	chr1	969352	969542	.	659	.	6.86724	6.2	-1
592	chr1	973857	973983	.	716	.	7.67063	3.7	-1
592	chr1	974235	974465	.	634	.	6.51337	7.5	-1
592	chr1	974546	974706	.	665	.	6.94672	4.4	-1
592	chr1	975401	975547	.	689	.	7.28185	4.3	-1
592	chr1	975661	976232	.	563	.	5.50109	15	-1
592	chr1	993834	995965	.	564	.	5.51054	14.4	-1
592	chr1	997359	1000961	.	547	.	5.27255	13.6	-1
592	chr1	1002896	1006495	.	466	.	4.13562	14.8	-1
592	chr1	1014816	1015468	.	536	.	5.11415	14.6	-1
593	chr1	1049379	1053178	.	438	.	3.72709	13.8	-1
593	chr1	1057706	1057980	.	660	.	6.87837	11.9	-1
593	chr1	1092508	1094458	.	663	.	6.91419	14.5	-1
593	chr1	1101857	1102023	.	586	.	5.82229	1.8	-1
593	chr1	1133848	1153099	.	270	.	1.35805	5.5	-1
593	chr1	1141348	1141489	.	683	.	7.19734	3.7	-1
593	chr1	1141367	1141588	.	576	.	5.68529	4	-1
593	chr1	1141654	1142290	.	571	.	5.62272	14.6	-1
593	chr1	1143485	1144092	.	411	.	3.34374	3.4	-1
593	chr1	1143515	1144531	.	352	.	2.52089	1.8	-1
593	chr1	1147900	1148763	.	392	.	3.07981	5	-1
593	chr1	1150150	1150365	.	539	.	5.16965	2.1	-1
593	chr1	1164185	1169817	.	902	.	10.3051	13.9	-1
594	chr1	1185903	1186733	.	433	.	3.66804	9.8	-1
594	chr1	1192697	1192890	.	599	.	6.00933	3.7	-1
594	chr1	1205110	1211128	.	852	.	9.59594	13.3	-1
594	chr1	1219389	1219671	.	973	.	11.3101	15.4	-1
594	chr1	1239727	1246156	.	854	.	9.62892	14.1	-1
594	chr1	1257315	1262585	.	716	.	7.66598	13.7	-1
594	chr1	1283267	1284650	.	890	.	10.1332	15.7	-1
594	chr1	1284908	1285424	.	578	.	5.71284	15.1	-1
74	chr1	1306124	1312863	.	717	.	7.68725	13.6	-1
595	chr1	1331005	1331114	.	707	.	7.53692	2	-1
595	chr1	1331904	1338266	.	1000	.	14.1207	14.8	-1
595	chr1	1339971	1345499	.	890	.	10.1318	13.4	-1
595	chr1	1346724	1348661	.	351	.	2.49484	8.2	-1
595	chr1	1352876	1353633	.	526	.	4.97932	14.5	-1
595	chr1	1354272	1354481	.	550	.	5.31806	2.3	-1
595	chr1	1357616	1358262	.	396	.	3.14187	2.6	-1
595	chr1	1368477	1372933	.	441	.	3.77403	13.9	-1
595	chr1	1396171	1418152	.	347	.	2.44252	12.7	-1
595	chr1	1397280	1398969	.	477	.	4.29174	14	-1
595	chr1	1400149	1400269	.	715	.	7.65146	3.1	-1
595	chr1	1405158	1410227	.	713	.	7.62675	13.5	-1
595	chr1	1440136	1440703	.	403	.	3.23871	2.1	-1
596	chr1	1445339	1449455	.	755	.	8.21854	13.6	-1
596	chr1	1475768	1476005	.	722	.	7.74831	13.1	-1
596	chr1	1502700	1503789	.	356	.	2.57378	2.8	-1
596	chr1	1505159	1506195	.	408	.	3.31185	9.6	-1
596	chr1	1506847	1507126	.	505	.	4.67661	2.7	-1
596	chr1	1507854	1512076	.	1000	.	13.884	13.6	-1
596	chr1	1532334	1533729	.	436	.	3.70665	14.5	-1
596	chr1	1535505	1536025	.	404	.	3.25264	1.5	-1
596	chr1	1537312	1537414	.	743	.	8.05416	2.4	-1
